Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0005,40284,1999,,,,,30.0,28,29.0,06,28.0,15,24.0,07,24.0,31,25.0,20,27.0,17,31.0,26,31.0,07,33.0,31,
IDCJAC0005,40284,2000,41.0,21,32.0,12,31.0,06,30.0,05,27.0,14,26.0,22,25.0,26,28.0,31,33.0,30,35.0,01,33.0,29,36.0,26,41.0
IDCJAC0005,40284,2001,36.0,27,32.0,27,33.0,18,29.0,26,27.0,27,27.0,10,25.0,15,28.0,08,30.0,26,38.0,30,33.0,02,41.0,26,41.0
IDCJAC0005,40284,2002,42.0,12,35.0,22,36.0,18,32.0,21,29.0,17,28.0,16,25.0,24,28.0,03,33.0,26,36.0,23,33.0,10,37.0,04,42.0
IDCJAC0005,40284,2003,34.0,31,32.0,17,33.0,01,30.0,15,32.0,19,27.8,29,24.0,09,28.4,13,35.4,27,35.4,29,34.0,22,35.9,26,35.9
IDCJAC0005,40284,2004,36.3,08,40.3,21,34.6,08,30.1,01,27.0,16,26.4,15,26.7,05,29.7,29,31.2,24,38.8,23,35.7,13,37.9,14,40.3
IDCJAC0005,40284,2005,35.2,16,34.5,05,33.8,05,30.5,04,28.2,01,25.7,14,25.7,02,26.1,20,30.0,29,39.6,06,33.1,11,37.2,14,39.6
IDCJAC0005,40284,2006,35.5,03,34.5,10,30.9,08,34.0,04,29.4,08,24.7,01,26.6,12,32.8,25,29.4,30,36.6,28,38.6,29,33.6,25,38.6
IDCJAC0005,40284,2007,36.4,29,32.1,01,36.0,11,28.9,19,30.5,05,25.2,04,26.6,04,28.7,11,32.5,17,34.5,04,35.3,04,31.7,17,36.4
IDCJAC0005,40284,2008,32.1,06,39.9,23,30.4,26,29.0,03,27.4,07,26.8,06,25.9,18,28.5,01,35.7,29,33.8,06,33.4,04,35.6,13,39.9
IDCJAC0005,40284,2009,35.9,01,35.1,09,35.7,01,30.9,15,25.9,16,24.8,15,26.2,23,36.4,24,33.4,26,35.2,03,39.5,17,36.8,09,39.5
IDCJAC0005,40284,2010,37.2,18,34.8,15,32.4,10,31.7,11,28.3,05,25.1,09,27.3,31,28.2,19,28.3,27,29.2,07,30.4,17,32.4,11,37.2
IDCJAC0005,40284,2011,35.6,18,33.8,20,35.2,22,29.2,14,27.2,02,26.8,06,24.2,26,26.0,29,32.4,18,29.6,09,33.9,27,33.4,12,35.6
IDCJAC0005,40284,2012,38.0,09,33.2,06,31.6,02,29.6,09,27.2,13,24.8,22,24.4,27,28.7,23,31.1,29,37.3,07,37.0,16,40.8,04,40.8
IDCJAC0005,40284,2013,37.9,09,34.8,23,35.1,17,30.6,23,28.0,04,25.6,02,24.7,06,28.9,31,34.0,11,37.3,07,34.7,29,39.3,29,39.3
IDCJAC0005,40284,2014,43.7,04,35.8,16,34.8,16,31.2,06,27.4,29,26.7,03,26.4,31,28.2,01,30.0,17,39.5,27,43.5,16,39.0,17,43.7
IDCJAC0005,40284,2015,36.9,17,32.8,01,37.2,19,30.1,06,29.5,06,23.7,10,26.9,26,29.0,25,29.3,16,32.4,05,35.4,21,35.2,11,37.2
IDCJAC0005,40284,2016,35.6,29,36.4,02,32.5,19,30.9,11,28.9,26,27.9,09,29.6,23,27.5,23,29.9,25,32.3,08,37.5,24,36.5,31,37.5
IDCJAC0005,40284,2017,37.3,18,39.9,12,34.4,17,29.5,10,27.4,24,25.4,26,27.3,05,32.7,17,38.6,28,34.2,06,30.0,04,35.7,25,39.9
IDCJAC0005,40284,2018,37.1,13,35.3,14,34.6,04,32.5,15,27.7,04,25.9,13,26.1,28,29.8,16,30.5,20,35.3,26,38.6,28,39.8,02,39.8
IDCJAC0005,40284,2019,34.1,28,35.9,13,36.4,12,30.1,09,,,,,,,,,,,,,,,,,
