Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,72023,1965,01,39.5,17,Y
IDCJAC0005,72023,1965,02,38.6,18,Y
IDCJAC0005,72023,1965,03,37.8,05,Y
IDCJAC0005,72023,1965,04,26.1,04,Y
IDCJAC0005,72023,1965,05,24.3,08,Y
IDCJAC0005,72023,1965,06,16.2,05,Y
IDCJAC0005,72023,1965,07,15.6,03,Y
IDCJAC0005,72023,1965,08,20.2,29,Y
IDCJAC0005,72023,1965,09,21.0,02,Y
IDCJAC0005,72023,1965,10,29.6,30,Y
IDCJAC0005,72023,1965,11,31.5,20,Y
IDCJAC0005,72023,1965,12,35.8,28,Y
IDCJAC0005,72023,1966,01,38.2,27,Y
IDCJAC0005,72023,1966,02,34.4,24,Y
IDCJAC0005,72023,1966,03,37.3,09,Y
IDCJAC0005,72023,1966,04,27.8,13,Y
IDCJAC0005,72023,1966,05,23.1,05,Y
IDCJAC0005,72023,1966,06,15.6,01,Y
IDCJAC0005,72023,1966,07,15.6,25,Y
IDCJAC0005,72023,1966,08,17.7,31,Y
IDCJAC0005,72023,1966,09,22.2,30,Y
IDCJAC0005,72023,1966,10,24.3,30,Y
IDCJAC0005,72023,1966,11,33.8,24,Y
IDCJAC0005,72023,1966,12,35.3,01,Y
IDCJAC0005,72023,1967,01,39.3,22,Y
IDCJAC0005,72023,1967,02,36.8,24,Y
IDCJAC0005,72023,1967,03,29.9,29,Y
IDCJAC0005,72023,1967,04,29.4,19,Y
IDCJAC0005,72023,1967,05,25.0,12,Y
IDCJAC0005,72023,1967,06,18.2,16,Y
IDCJAC0005,72023,1967,07,16.2,27,Y
IDCJAC0005,72023,1967,08,17.7,06,Y
IDCJAC0005,72023,1967,09,23.3,25,Y
IDCJAC0005,72023,1967,10,31.1,28,Y
IDCJAC0005,72023,1967,11,35.3,29,Y
IDCJAC0005,72023,1967,12,37.7,11,Y
IDCJAC0005,72023,1968,01,42.1,31,Y
IDCJAC0005,72023,1968,02,43.7,01,Y
IDCJAC0005,72023,1968,03,34.4,16,Y
IDCJAC0005,72023,1968,04,31.6,12,Y
IDCJAC0005,72023,1968,05,19.1,11,Y
IDCJAC0005,72023,1968,06,15.7,12,Y
IDCJAC0005,72023,1968,07,14.7,30,Y
IDCJAC0005,72023,1968,08,18.3,27,Y
IDCJAC0005,72023,1968,09,20.4,23,Y
IDCJAC0005,72023,1968,10,25.7,15,Y
IDCJAC0005,72023,1968,11,29.4,27,Y
IDCJAC0005,72023,1968,12,34.9,15,Y
IDCJAC0005,72023,1969,01,39.0,08,Y
IDCJAC0005,72023,1969,02,37.9,04,Y
IDCJAC0005,72023,1969,03,30.7,03,Y
IDCJAC0005,72023,1969,04,27.8,10,Y
IDCJAC0005,72023,1969,05,18.9,13,Y
IDCJAC0005,72023,1969,06,16.7,22,Y
IDCJAC0005,72023,1969,07,17.8,16,Y
IDCJAC0005,72023,1969,08,21.9,30,Y
IDCJAC0005,72023,1969,09,21.3,01,Y
IDCJAC0005,72023,1969,10,28.6,25,Y
