Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,23013,1939,04,8.9,19,Y
IDCJAC0008,23013,1939,05,3.7,26,Y
IDCJAC0008,23013,1939,06,3.7,10,Y
IDCJAC0008,23013,1939,07,0.4,06,Y
IDCJAC0008,23013,1939,08,-1.9,04,Y
IDCJAC0008,23013,1939,09,0.4,21,Y
IDCJAC0008,23013,1939,10,1.8,09,Y
IDCJAC0008,23013,1939,11,5.9,09,Y
IDCJAC0008,23013,1939,12,6.0,07,Y
IDCJAC0008,23013,1940,01,10.4,20,Y
IDCJAC0008,23013,1940,02,8.7,03,Y
IDCJAC0008,23013,1940,03,10.1,02,Y
IDCJAC0008,23013,1940,04,6.8,19,Y
IDCJAC0008,23013,1940,05,1.7,27,Y
IDCJAC0008,23013,1940,06,-0.1,26,Y
IDCJAC0008,23013,1940,07,1.3,21,Y
IDCJAC0008,23013,1940,08,0.0,21,Y
IDCJAC0008,23013,1940,09,1.8,22,Y
IDCJAC0008,23013,1940,10,5.4,28,Y
IDCJAC0008,23013,1940,11,3.7,05,Y
IDCJAC0008,23013,1940,12,8.3,10,Y
IDCJAC0008,23013,1941,01,10.4,05,Y
IDCJAC0008,23013,1941,02,8.8,13,Y
IDCJAC0008,23013,1941,03,10.0,23,Y
IDCJAC0008,23013,1941,04,6.0,27,Y
IDCJAC0008,23013,1941,05,4.1,26,Y
IDCJAC0008,23013,1941,06,5.0,12,Y
IDCJAC0008,23013,1941,07,2.9,10,Y
IDCJAC0008,23013,1941,08,1.7,12,Y
IDCJAC0008,23013,1941,09,3.8,10,Y
IDCJAC0008,23013,1941,10,4.4,09,Y
IDCJAC0008,23013,1941,11,6.6,01,Y
IDCJAC0008,23013,1941,12,9.3,02,Y
IDCJAC0008,23013,1942,01,10.8,17,Y
IDCJAC0008,23013,1942,02,9.9,21,Y
IDCJAC0008,23013,1942,03,10.4,18,Y
IDCJAC0008,23013,1942,04,6.7,19,Y
IDCJAC0008,23013,1942,05,8.3,31,Y
IDCJAC0008,23013,1942,06,3.9,02,Y
IDCJAC0008,23013,1942,07,2.6,29,Y
IDCJAC0008,23013,1942,08,3.3,03,Y
IDCJAC0008,23013,1942,09,3.4,24,Y
IDCJAC0008,23013,1942,10,3.9,21,Y
IDCJAC0008,23013,1942,11,6.5,25,Y
IDCJAC0008,23013,1942,12,9.6,02,Y
IDCJAC0008,23013,1943,01,10.8,04,Y
IDCJAC0008,23013,1943,02,9.7,22,Y
IDCJAC0008,23013,1943,03,10.7,19,Y
IDCJAC0008,23013,1943,04,7.2,07,Y
IDCJAC0008,23013,1943,05,2.5,15,Y
IDCJAC0008,23013,1943,06,2.2,01,Y
IDCJAC0008,23013,1943,07,3.6,05,Y
IDCJAC0008,23013,1943,08,1.7,23,Y
IDCJAC0008,23013,1943,09,3.6,02,Y
IDCJAC0008,23013,1943,10,4.2,14,Y
IDCJAC0008,23013,1943,11,6.3,08,Y
IDCJAC0008,23013,1943,12,9.0,03,Y
IDCJAC0008,23013,1944,01,10.3,16,Y
IDCJAC0008,23013,1944,02,9.6,25,Y
IDCJAC0008,23013,1944,03,8.1,09,Y
IDCJAC0008,23013,1944,04,8.0,14,Y
