Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0008,68228,1997,,,,,,,13.0,30,9.0,14,8.0,23,6.0,20,7.0,24,9.0,24,9.0,19,13.0,19,17.0,29,
IDCJAC0008,68228,1998,17.0,06,14.0,17,15.0,09,11.0,26,6.0,25,7.0,19,7.0,30,8.0,10,8.0,07,8.0,08,10.0,02,13.0,27,6.0
IDCJAC0008,68228,1999,17.0,21,16.0,20,12.0,30,11.0,28,7.0,16,8.0,17,7.0,29,7.0,03,8.0,18,10.0,20,10.0,19,12.0,21,7.0
IDCJAC0008,68228,2000,13.0,23,15.0,15,14.0,26,11.0,23,7.0,30,6.0,04,6.0,28,7.0,02,8.0,07,10.0,16,13.0,07,13.0,02,6.0
IDCJAC0008,68228,2001,15.0,10,15.0,16,14.0,22,11.0,12,9.0,31,8.0,29,8.0,09,7.0,28,10.0,06,9.0,20,10.0,12,13.0,27,7.0
IDCJAC0008,68228,2002,15.0,17,15.0,12,15.0,31,13.0,06,9.0,27,8.0,27,5.0,12,7.0,21,8.0,11,9.0,01,13.0,16,12.0,07,5.0
IDCJAC0008,68228,2003,15.0,09,18.0,25,12.0,02,11.8,17,10.0,29,7.6,24,5.8,28,7.1,31,7.3,30,7.1,10,9.3,03,14.8,29,5.8
IDCJAC0008,68228,2004,14.5,31,15.4,28,14.7,24,12.9,24,8.4,28,8.1,29,5.2,18,7.2,15,7.5,13,9.8,16,11.6,04,12.0,29,5.2
IDCJAC0008,68228,2005,15.3,11,14.0,03,13.1,27,13.1,30,9.5,29,8.0,22,7.7,18,5.9,13,8.0,03,11.2,09,11.5,29,13.5,20,5.9
IDCJAC0008,68228,2006,16.4,04,16.6,28,16.5,26,9.3,22,8.8,29,6.6,15,6.7,13,7.7,12,10.3,11,9.8,22,8.9,16,11.2,26,6.6
IDCJAC0008,68228,2007,15.2,14,16.3,14,14.0,31,13.1,26,8.8,31,6.3,23,4.1,17,7.5,14,9.5,16,8.8,13,11.6,06,13.6,26,4.1
IDCJAC0008,68228,2008,14.9,22,13.1,29,11.8,31,9.0,29,9.5,25,9.2,30,6.8,26,5.7,19,7.5,09,7.6,23,11.4,23,12.8,21,5.7
IDCJAC0008,68228,2009,14.0,18,14.5,12,13.3,06,9.5,28,10.8,14,6.6,11,6.6,06,5.8,09,8.8,02,8.5,07,13.2,11,12.7,02,5.8
IDCJAC0008,68228,2010,12.8,19,17.0,26,15.4,11,12.3,27,10.5,12,5.4,30,8.3,02,7.2,08,7.3,08,9.0,01,11.6,20,12.4,20,5.4
IDCJAC0008,68228,2011,14.9,05,16.1,07,14.6,05,12.2,12,8.2,17,6.6,07,7.2,24,8.5,09,8.0,10,9.9,05,13.3,03,10.8,05,6.6
IDCJAC0008,68228,2012,13.5,12,15.8,03,13.9,24,9.3,10,8.5,14,7.1,08,7.7,20,7.4,27,6.2,01,6.1,12,12.1,19,12.4,06,6.1
IDCJAC0008,68228,2013,15.4,14,13.5,02,13.9,19,11.3,19,9.9,26,9.0,21,5.7,22,7.2,22,9.3,13,10.0,15,12.0,06,12.2,06,5.7
IDCJAC0008,68228,2014,14.8,08,15.9,07,15.3,17,11.9,20,10.8,04,10.2,30,7.7,12,8.0,02,8.3,20,9.8,16,12.3,03,15.8,12,7.7
IDCJAC0008,68228,2015,15.0,29,15.6,04,14.4,28,11.2,27,8.9,14,6.8,02,6.1,04,6.7,05,8.9,24,12.2,28,13.1,09,13.3,30,6.1
IDCJAC0008,68228,2016,13.2,15,16.3,02,15.2,22,13.8,25,8.0,30,7.3,25,7.5,29,7.1,12,9.3,05,8.7,24,12.1,01,15.1,19,7.1
IDCJAC0008,68228,2017,17.6,03,15.7,21,14.1,31,10.1,27,8.4,30,8.0,25,7.3,02,7.3,28,8.0,17,10.4,02,11.2,09,14.7,04,7.3
IDCJAC0008,68228,2018,13.3,14,15.0,01,13.3,27,12.4,30,8.6,11,6.6,30,6.3,15,5.3,29,6.7,17,9.8,01,10.9,08,14.6,24,5.3
IDCJAC0008,68228,2019,17.0,06,14.5,10,10.9,31,11.1,28,,,,,,,,,,,,,,,,,
