Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,63291,1994,null,null,null,null,null,11.6,28.0,6.6,9.6,42.4,54.6,63.4,null
IDCJAC0001,63291,1995,148.2,9.2,0.4,1.2,54.2,14.2,22.6,1.4,36.6,9.0,16.6,52.2,365.8
IDCJAC0001,63291,1996,46.6,30.2,53.0,4.2,42.2,53.8,103.0,41.0,60.4,75.2,43.6,75.8,629.0
IDCJAC0001,63291,1997,33.0,95.0,9.8,3.4,41.6,18.6,14.6,20.3,55.0,30.0,19.2,33.4,373.9
IDCJAC0001,63291,1998,97.0,58.6,4.6,68.2,85.4,89.4,85.6,121.0,67.2,79.1,62.6,34.8,853.5
IDCJAC0001,63291,1999,30.8,4.4,73.0,37.6,12.4,38.8,32.4,58.4,53.0,193.0,52.8,89.2,675.8
IDCJAC0001,63291,2000,60.0,9.0,135.0,50.2,47.4,35.4,33.4,71.0,39.8,99.0,82.0,12.4,674.6
IDCJAC0001,63291,2001,71.6,41.4,55.6,76.4,18.4,28.2,54.0,31.8,43.2,95.8,67.4,30.4,614.2
IDCJAC0001,63291,2002,68.6,117.7,39.0,44.8,26.6,22.4,11.8,6.8,37.2,1.2,10.0,53.2,439.3
IDCJAC0001,63291,2003,23.2,116.0,33.2,31.2,9.2,40.0,34.6,84.2,17.0,60.4,85.4,49.8,584.2
IDCJAC0001,63291,2004,31.0,46.6,15.4,3.0,58.8,33.6,37.4,34.8,45.0,44.2,84.6,130.4,564.8
IDCJAC0001,63291,2005,53.2,71.2,14.2,4.2,2.0,62.2,51.4,25.4,79.8,84.8,131.6,34.4,614.4
IDCJAC0001,63291,2006,131.6,32.0,5.0,8.6,3.8,39.8,52.8,3.8,16.4,4.0,28.4,47.8,374.0
IDCJAC0001,63291,2007,68.2,96.0,32.2,22.4,83.2,55.8,21.0,18.8,2.6,53.8,137.8,80.4,672.2
IDCJAC0001,63291,2008,58.0,57.4,28.0,10.6,9.8,29.0,37.6,41.6,72.4,67.6,136.0,140.2,688.2
IDCJAC0001,63291,2009,23.0,85.2,24.2,50.8,6.4,45.0,36.6,30.6,60.2,50.8,10.4,100.8,524.0
IDCJAC0001,63291,2010,60.4,94.2,118.6,97.2,48.2,23.4,87.2,84.4,65.2,57.6,112.4,218.6,1067.4
IDCJAC0001,63291,2011,33.0,53.4,103.8,18.6,39.0,13.0,23.0,47.0,117.0,34.2,138.4,133.2,753.6
IDCJAC0001,63291,2012,57.2,131.2,165.0,11.6,31.6,50.6,51.6,25.8,35.8,8.4,9.2,52.6,630.6
IDCJAC0001,63291,2013,59.0,38.8,94.6,16.6,33.0,71.2,32.4,22.2,46.0,16.2,32.4,43.4,505.8
IDCJAC0001,63291,2014,12.4,74.8,133.2,53.0,24.0,41.2,36.6,22.2,27.0,24.6,33.8,105.0,587.8
IDCJAC0001,63291,2015,82.2,61.6,20.8,122.4,26.4,26.8,64.4,47.2,11.4,33.0,59.8,66.2,622.2
IDCJAC0001,63291,2016,85.8,3.0,44.8,18.6,40.2,104.8,87.4,77.0,113.2,42.0,38.8,47.8,703.4
IDCJAC0001,63291,2017,26.0,3.4,71.8,26.6,21.0,3.6,6.4,41.4,16.0,60.8,94.2,86.0,457.2
IDCJAC0001,63291,2018,43.8,45.2,61.2,14.0,15.0,29.6,5.2,36.6,37.6,52.4,96.6,81.6,518.8
IDCJAC0001,63291,2019,171.2,43.6,74.0,0.0,null,null,null,null,null,null,null,null,null
