Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,9581,1886,08,95.8,Y
IDCJAC0001,9581,1886,09,82.6,Y
IDCJAC0001,9581,1886,10,63.0,Y
IDCJAC0001,9581,1886,11,53.6,Y
IDCJAC0001,9581,1886,12,15.7,Y
IDCJAC0001,9581,1887,01,16.8,Y
IDCJAC0001,9581,1887,02,17.5,Y
IDCJAC0001,9581,1887,03,39.4,Y
IDCJAC0001,9581,1887,04,44.7,Y
IDCJAC0001,9581,1887,05,51.1,Y
IDCJAC0001,9581,1887,06,125.2,Y
IDCJAC0001,9581,1887,07,106.7,Y
IDCJAC0001,9581,1887,08,116.8,Y
IDCJAC0001,9581,1887,09,102.6,Y
IDCJAC0001,9581,1887,10,52.8,Y
IDCJAC0001,9581,1887,11,31.5,Y
IDCJAC0001,9581,1887,12,20.3,Y
IDCJAC0001,9581,1888,01,9.1,Y
IDCJAC0001,9581,1888,02,6.6,Y
IDCJAC0001,9581,1888,03,19.8,Y
IDCJAC0001,9581,1888,04,46.0,Y
IDCJAC0001,9581,1888,05,122.4,Y
IDCJAC0001,9581,1888,06,70.1,Y
IDCJAC0001,9581,1888,07,66.8,Y
IDCJAC0001,9581,1888,08,82.6,Y
IDCJAC0001,9581,1888,09,113.8,Y
IDCJAC0001,9581,1888,10,64.0,Y
IDCJAC0001,9581,1888,11,81.0,Y
IDCJAC0001,9581,1888,12,30.2,Y
IDCJAC0001,9581,1889,01,23.1,Y
IDCJAC0001,9581,1889,02,34.5,Y
IDCJAC0001,9581,1889,03,10.4,Y
IDCJAC0001,9581,1889,04,83.3,Y
IDCJAC0001,9581,1889,05,78.2,Y
IDCJAC0001,9581,1889,06,120.4,Y
IDCJAC0001,9581,1889,07,63.2,Y
IDCJAC0001,9581,1889,08,85.1,Y
IDCJAC0001,9581,1889,09,96.3,Y
IDCJAC0001,9581,1889,10,97.0,Y
IDCJAC0001,9581,1889,11,43.7,Y
IDCJAC0001,9581,1889,12,13.2,Y
IDCJAC0001,9581,1890,01,4.8,Y
IDCJAC0001,9581,1890,02,31.8,Y
IDCJAC0001,9581,1890,03,9.4,Y
IDCJAC0001,9581,1890,04,4.6,Y
IDCJAC0001,9581,1890,05,74.7,Y
IDCJAC0001,9581,1890,06,90.9,Y
IDCJAC0001,9581,1890,07,109.0,Y
IDCJAC0001,9581,1890,08,90.2,Y
IDCJAC0001,9581,1890,09,134.4,Y
IDCJAC0001,9581,1890,10,92.7,Y
IDCJAC0001,9581,1890,11,33.5,Y
IDCJAC0001,9581,1890,12,59.7,Y
IDCJAC0001,9581,1891,01,16.8,Y
IDCJAC0001,9581,1891,02,3.8,Y
IDCJAC0001,9581,1891,03,47.5,Y
IDCJAC0001,9581,1891,04,22.1,Y
IDCJAC0001,9581,1891,05,50.8,Y
IDCJAC0001,9581,1891,06,111.8,Y
IDCJAC0001,9581,1891,07,22.4,Y
IDCJAC0001,9581,1891,08,62.0,Y
IDCJAC0001,9581,1891,09,53.8,Y
IDCJAC0001,9581,1891,10,50.5,Y
IDCJAC0001,9581,1891,11,9.9,Y
IDCJAC0001,9581,1891,12,12.7,Y
IDCJAC0001,9581,1892,01,14.7,Y
IDCJAC0001,9581,1892,02,14.5,Y
IDCJAC0001,9581,1892,03,68.1,Y
IDCJAC0001,9581,1892,04,17.3,Y
IDCJAC0001,9581,1892,05,105.9,Y
IDCJAC0001,9581,1892,06,72.6,Y
IDCJAC0001,9581,1892,07,42.4,Y
IDCJAC0001,9581,1892,08,104.6,Y
IDCJAC0001,9581,1892,09,81.8,Y
IDCJAC0001,9581,1892,10,64.3,Y
IDCJAC0001,9581,1892,11,33.3,Y
IDCJAC0001,9581,1892,12,1.3,Y
IDCJAC0001,9581,1893,01,9.7,Y
IDCJAC0001,9581,1893,02,17.3,Y
IDCJAC0001,9581,1893,03,56.9,Y
IDCJAC0001,9581,1893,04,55.6,Y
IDCJAC0001,9581,1893,05,86.6,Y
IDCJAC0001,9581,1893,06,77.7,Y
IDCJAC0001,9581,1893,07,93.7,Y
IDCJAC0001,9581,1893,08,87.9,Y
IDCJAC0001,9581,1893,09,157.0,Y
IDCJAC0001,9581,1893,10,92.7,Y
IDCJAC0001,9581,1893,11,56.1,Y
IDCJAC0001,9581,1893,12,27.9,Y
IDCJAC0001,9581,1894,01,5.6,Y
IDCJAC0001,9581,1894,02,14.2,Y
IDCJAC0001,9581,1894,03,39.6,Y
IDCJAC0001,9581,1894,04,14.0,Y
IDCJAC0001,9581,1894,05,116.3,Y
IDCJAC0001,9581,1894,06,90.9,Y
IDCJAC0001,9581,1894,07,79.8,Y
IDCJAC0001,9581,1894,08,104.6,Y
IDCJAC0001,9581,1894,09,61.5,Y
IDCJAC0001,9581,1894,10,35.6,Y
IDCJAC0001,9581,1894,11,15.0,Y
IDCJAC0001,9581,1894,12,22.9,Y
IDCJAC0001,9581,1895,01,25.1,Y
IDCJAC0001,9581,1895,02,97.8,Y
IDCJAC0001,9581,1895,03,10.2,Y
IDCJAC0001,9581,1895,04,63.5,Y
IDCJAC0001,9581,1895,05,39.4,Y
IDCJAC0001,9581,1895,06,121.2,Y
IDCJAC0001,9581,1895,07,82.3,Y
IDCJAC0001,9581,1895,08,97.0,Y
IDCJAC0001,9581,1895,09,131.8,Y
IDCJAC0001,9581,1895,10,31.8,Y
IDCJAC0001,9581,1895,11,21.6,Y
IDCJAC0001,9581,1895,12,23.4,Y
IDCJAC0001,9581,1896,01,8.4,Y
IDCJAC0001,9581,1896,02,12.4,Y
IDCJAC0001,9581,1896,03,78.0,Y
IDCJAC0001,9581,1896,04,48.5,Y
IDCJAC0001,9581,1896,05,16.3,Y
IDCJAC0001,9581,1896,06,66.3,Y
IDCJAC0001,9581,1896,07,118.9,Y
IDCJAC0001,9581,1896,08,42.7,Y
IDCJAC0001,9581,1896,09,28.4,Y
IDCJAC0001,9581,1896,10,21.8,Y
IDCJAC0001,9581,1896,11,40.6,Y
IDCJAC0001,9581,1896,12,44.5,Y
IDCJAC0001,9581,1897,01,1.3,Y
IDCJAC0001,9581,1897,02,24.4,Y
IDCJAC0001,9581,1897,03,39.9,Y
IDCJAC0001,9581,1897,04,52.1,Y
IDCJAC0001,9581,1897,05,40.6,Y
IDCJAC0001,9581,1897,06,97.3,Y
IDCJAC0001,9581,1897,07,46.0,Y
IDCJAC0001,9581,1897,08,123.2,Y
IDCJAC0001,9581,1897,09,71.4,Y
IDCJAC0001,9581,1897,10,47.2,Y
IDCJAC0001,9581,1897,11,34.8,Y
IDCJAC0001,9581,1897,12,9.9,Y
IDCJAC0001,9581,1898,01,24.1,Y
IDCJAC0001,9581,1898,02,36.8,Y
IDCJAC0001,9581,1898,03,6.1,Y
IDCJAC0001,9581,1898,04,8.4,Y
IDCJAC0001,9581,1898,05,37.3,Y
IDCJAC0001,9581,1898,06,144.0,Y
IDCJAC0001,9581,1898,07,146.1,Y
IDCJAC0001,9581,1898,08,62.5,Y
IDCJAC0001,9581,1898,09,44.2,Y
IDCJAC0001,9581,1898,10,128.8,Y
IDCJAC0001,9581,1898,11,19.1,Y
IDCJAC0001,9581,1898,12,6.4,Y
IDCJAC0001,9581,1899,01,10.9,Y
IDCJAC0001,9581,1899,02,53.3,Y
IDCJAC0001,9581,1899,03,20.6,Y
IDCJAC0001,9581,1899,04,75.4,Y
IDCJAC0001,9581,1899,05,59.7,Y
IDCJAC0001,9581,1899,06,63.5,Y
IDCJAC0001,9581,1899,07,104.6,Y
IDCJAC0001,9581,1899,08,50.5,Y
IDCJAC0001,9581,1899,09,63.2,Y
IDCJAC0001,9581,1899,10,65.8,Y
IDCJAC0001,9581,1899,11,26.7,Y
IDCJAC0001,9581,1899,12,11.7,Y
IDCJAC0001,9581,1900,01,41.9,Y
IDCJAC0001,9581,1900,02,6.1,Y
IDCJAC0001,9581,1900,03,10.9,Y
IDCJAC0001,9581,1900,04,41.4,Y
IDCJAC0001,9581,1900,05,57.9,Y
IDCJAC0001,9581,1900,06,105.9,Y
IDCJAC0001,9581,1900,07,83.8,Y
IDCJAC0001,9581,1900,08,128.0,Y
IDCJAC0001,9581,1900,09,84.6,Y
IDCJAC0001,9581,1900,10,85.3,Y
IDCJAC0001,9581,1900,11,8.4,Y
IDCJAC0001,9581,1900,12,31.2,Y
IDCJAC0001,9581,1901,01,9.1,Y
IDCJAC0001,9581,1901,02,4.1,Y
IDCJAC0001,9581,1901,03,48.8,Y
IDCJAC0001,9581,1901,04,33.8,Y
IDCJAC0001,9581,1901,05,49.0,Y
IDCJAC0001,9581,1901,06,89.2,Y
IDCJAC0001,9581,1901,07,72.1,Y
IDCJAC0001,9581,1901,08,87.4,Y
IDCJAC0001,9581,1901,09,50.3,Y
IDCJAC0001,9581,1901,10,71.6,Y
IDCJAC0001,9581,1901,11,9.7,Y
IDCJAC0001,9581,1901,12,60.5,Y
IDCJAC0001,9581,1902,01,7.6,Y
IDCJAC0001,9581,1902,02,7.4,Y
IDCJAC0001,9581,1902,03,9.7,Y
IDCJAC0001,9581,1902,04,11.4,Y
IDCJAC0001,9581,1902,05,88.4,Y
IDCJAC0001,9581,1902,06,86.1,Y
IDCJAC0001,9581,1902,07,141.2,Y
IDCJAC0001,9581,1902,08,151.1,Y
IDCJAC0001,9581,1902,09,128.5,Y
IDCJAC0001,9581,1902,10,67.6,Y
IDCJAC0001,9581,1902,11,12.4,Y
IDCJAC0001,9581,1902,12,14.5,Y
IDCJAC0001,9581,1903,01,7.6,Y
IDCJAC0001,9581,1903,02,0.8,Y
IDCJAC0001,9581,1903,03,27.4,Y
IDCJAC0001,9581,1903,04,100.1,Y
IDCJAC0001,9581,1903,05,41.9,Y
IDCJAC0001,9581,1903,06,91.9,Y
IDCJAC0001,9581,1903,07,126.2,Y
IDCJAC0001,9581,1903,08,85.3,Y
IDCJAC0001,9581,1903,09,120.4,Y
IDCJAC0001,9581,1903,10,118.4,Y
IDCJAC0001,9581,1903,11,55.6,Y
IDCJAC0001,9581,1903,12,38.6,Y
IDCJAC0001,9581,1904,01,7.6,Y
IDCJAC0001,9581,1904,02,3.6,Y
IDCJAC0001,9581,1904,03,51.1,Y
IDCJAC0001,9581,1904,04,31.8,Y
IDCJAC0001,9581,1904,05,113.8,Y
IDCJAC0001,9581,1904,06,100.1,Y
IDCJAC0001,9581,1904,07,116.6,Y
IDCJAC0001,9581,1904,08,71.1,Y
IDCJAC0001,9581,1904,09,86.6,Y
IDCJAC0001,9581,1904,10,123.7,Y
IDCJAC0001,9581,1904,11,40.4,Y
IDCJAC0001,9581,1904,12,15.5,Y
IDCJAC0001,9581,1905,01,12.7,Y
IDCJAC0001,9581,1905,02,5.8,Y
IDCJAC0001,9581,1905,03,12.7,Y
IDCJAC0001,9581,1905,04,138.4,Y
IDCJAC0001,9581,1905,05,103.4,Y
IDCJAC0001,9581,1905,06,64.3,Y
IDCJAC0001,9581,1905,07,45.7,Y
IDCJAC0001,9581,1905,08,63.2,Y
IDCJAC0001,9581,1905,09,154.4,Y
IDCJAC0001,9581,1905,10,116.1,Y
IDCJAC0001,9581,1905,11,25.7,Y
IDCJAC0001,9581,1905,12,26.4,Y
IDCJAC0001,9581,1906,01,13.2,Y
IDCJAC0001,9581,1906,02,39.6,Y
IDCJAC0001,9581,1906,03,24.6,Y
IDCJAC0001,9581,1906,04,25.9,Y
IDCJAC0001,9581,1906,05,82.6,Y
IDCJAC0001,9581,1906,06,114.6,Y
IDCJAC0001,9581,1906,07,96.3,Y
IDCJAC0001,9581,1906,08,85.3,Y
IDCJAC0001,9581,1906,09,87.6,Y
IDCJAC0001,9581,1906,10,32.3,Y
IDCJAC0001,9581,1906,11,41.9,Y
IDCJAC0001,9581,1906,12,24.9,Y
IDCJAC0001,9581,1907,01,24.9,Y
IDCJAC0001,9581,1907,02,11.7,Y
IDCJAC0001,9581,1907,03,64.6,Y
IDCJAC0001,9581,1907,04,14.1,Y
IDCJAC0001,9581,1907,05,78.8,Y
IDCJAC0001,9581,1907,06,68.2,Y
IDCJAC0001,9581,1907,07,149.8,Y
IDCJAC0001,9581,1907,08,122.9,Y
IDCJAC0001,9581,1907,09,74.0,Y
IDCJAC0001,9581,1907,10,87.9,Y
IDCJAC0001,9581,1907,11,37.7,Y
IDCJAC0001,9581,1907,12,9.4,Y
IDCJAC0001,9581,1908,01,3.6,Y
IDCJAC0001,9581,1908,02,18.6,Y
IDCJAC0001,9581,1908,03,15.9,Y
IDCJAC0001,9581,1908,04,32.5,Y
IDCJAC0001,9581,1908,05,140.4,Y
IDCJAC0001,9581,1908,06,115.2,Y
IDCJAC0001,9581,1908,07,122.1,Y
IDCJAC0001,9581,1908,08,91.0,Y
IDCJAC0001,9581,1908,09,41.9,Y
IDCJAC0001,9581,1908,10,69.3,Y
IDCJAC0001,9581,1908,11,32.6,Y
IDCJAC0001,9581,1908,12,61.7,Y
IDCJAC0001,9581,1909,01,39.6,Y
IDCJAC0001,9581,1909,02,16.3,Y
IDCJAC0001,9581,1909,03,59.4,Y
IDCJAC0001,9581,1909,04,123.4,Y
IDCJAC0001,9581,1909,05,98.5,Y
IDCJAC0001,9581,1909,06,91.0,Y
IDCJAC0001,9581,1909,07,127.5,Y
IDCJAC0001,9581,1909,08,167.1,Y
IDCJAC0001,9581,1909,09,94.6,Y
IDCJAC0001,9581,1909,10,48.7,Y
IDCJAC0001,9581,1909,11,22.4,Y
IDCJAC0001,9581,1909,12,7.4,Y
IDCJAC0001,9581,1910,01,32.7,Y
IDCJAC0001,9581,1910,02,1.8,Y
IDCJAC0001,9581,1910,03,29.2,Y
IDCJAC0001,9581,1910,04,55.4,Y
IDCJAC0001,9581,1910,05,132.6,Y
IDCJAC0001,9581,1910,06,142.6,Y
IDCJAC0001,9581,1910,07,259.9,Y
IDCJAC0001,9581,1910,08,80.2,Y
IDCJAC0001,9581,1910,09,66.6,Y
IDCJAC0001,9581,1910,10,131.0,Y
IDCJAC0001,9581,1910,11,63.0,Y
IDCJAC0001,9581,1910,12,15.2,Y
IDCJAC0001,9581,1911,01,6.6,Y
IDCJAC0001,9581,1911,02,7.1,Y
IDCJAC0001,9581,1911,03,69.5,Y
IDCJAC0001,9581,1911,04,27.7,Y
IDCJAC0001,9581,1911,05,104.7,Y
IDCJAC0001,9581,1911,06,52.9,Y
IDCJAC0001,9581,1911,07,151.2,Y
IDCJAC0001,9581,1911,08,100.5,Y
IDCJAC0001,9581,1911,09,83.9,Y
IDCJAC0001,9581,1911,10,102.8,Y
IDCJAC0001,9581,1911,11,5.6,Y
IDCJAC0001,9581,1911,12,14.5,Y
IDCJAC0001,9581,1912,01,4.7,Y
IDCJAC0001,9581,1912,02,6.8,Y
IDCJAC0001,9581,1912,03,28.8,Y
IDCJAC0001,9581,1912,04,42.7,Y
IDCJAC0001,9581,1912,05,71.8,Y
IDCJAC0001,9581,1912,06,70.3,Y
IDCJAC0001,9581,1912,07,260.9,Y
IDCJAC0001,9581,1912,08,48.2,Y
IDCJAC0001,9581,1912,09,108.8,Y
IDCJAC0001,9581,1912,10,33.6,Y
IDCJAC0001,9581,1912,11,34.8,Y
IDCJAC0001,9581,1912,12,20.9,Y
IDCJAC0001,9581,1913,01,22.8,Y
IDCJAC0001,9581,1913,02,9.8,Y
IDCJAC0001,9581,1913,03,49.4,Y
IDCJAC0001,9581,1913,04,233.9,Y
IDCJAC0001,9581,1913,05,52.2,Y
IDCJAC0001,9581,1913,06,60.3,Y
IDCJAC0001,9581,1913,07,78.5,Y
IDCJAC0001,9581,1913,08,137.3,Y
IDCJAC0001,9581,1913,09,112.2,Y
IDCJAC0001,9581,1913,10,68.0,Y
IDCJAC0001,9581,1913,11,11.2,Y
IDCJAC0001,9581,1913,12,61.9,Y
IDCJAC0001,9581,1914,01,1.0,Y
IDCJAC0001,9581,1914,02,67.2,Y
IDCJAC0001,9581,1914,03,45.6,Y
IDCJAC0001,9581,1914,04,34.7,Y
IDCJAC0001,9581,1914,05,69.1,Y
IDCJAC0001,9581,1914,06,58.9,Y
IDCJAC0001,9581,1914,07,106.0,Y
IDCJAC0001,9581,1914,08,33.2,Y
IDCJAC0001,9581,1914,09,27.8,Y
IDCJAC0001,9581,1914,10,46.0,Y
IDCJAC0001,9581,1914,11,95.3,Y
IDCJAC0001,9581,1914,12,54.3,Y
IDCJAC0001,9581,1915,01,16.1,Y
IDCJAC0001,9581,1915,02,59.4,Y
IDCJAC0001,9581,1915,03,35.0,Y
IDCJAC0001,9581,1915,04,37.0,Y
IDCJAC0001,9581,1915,05,63.5,Y
IDCJAC0001,9581,1915,06,96.8,Y
IDCJAC0001,9581,1915,07,122.6,Y
IDCJAC0001,9581,1915,08,145.7,Y
IDCJAC0001,9581,1915,09,125.9,Y
IDCJAC0001,9581,1915,10,51.5,Y
IDCJAC0001,9581,1915,11,17.3,Y
IDCJAC0001,9581,1915,12,3.9,Y
IDCJAC0001,9581,1916,01,25.7,Y
IDCJAC0001,9581,1916,02,39.9,Y
IDCJAC0001,9581,1916,03,25.0,Y
IDCJAC0001,9581,1916,04,19.0,Y
IDCJAC0001,9581,1916,05,60.2,Y
IDCJAC0001,9581,1916,06,115.6,Y
IDCJAC0001,9581,1916,07,150.8,Y
IDCJAC0001,9581,1916,08,143.1,Y
IDCJAC0001,9581,1916,09,18.4,Y
IDCJAC0001,9581,1916,10,124.1,Y
IDCJAC0001,9581,1916,11,63.0,Y
IDCJAC0001,9581,1916,12,13.6,Y
IDCJAC0001,9581,1917,01,33.4,Y
IDCJAC0001,9581,1917,02,35.6,Y
IDCJAC0001,9581,1917,03,86.8,Y
IDCJAC0001,9581,1917,04,79.5,Y
IDCJAC0001,9581,1917,05,162.8,Y
IDCJAC0001,9581,1917,06,188.6,Y
IDCJAC0001,9581,1917,07,116.0,Y
IDCJAC0001,9581,1917,08,135.8,Y
IDCJAC0001,9581,1917,09,135.8,Y
IDCJAC0001,9581,1917,10,80.3,Y
IDCJAC0001,9581,1917,11,10.5,Y
IDCJAC0001,9581,1917,12,29.5,Y
IDCJAC0001,9581,1918,01,147.2,Y
IDCJAC0001,9581,1918,02,68.3,Y
IDCJAC0001,9581,1918,03,30.9,Y
IDCJAC0001,9581,1918,04,69.6,Y
IDCJAC0001,9581,1918,05,136.2,Y
IDCJAC0001,9581,1918,06,117.9,Y
IDCJAC0001,9581,1918,07,35.0,Y
IDCJAC0001,9581,1918,08,107.2,Y
IDCJAC0001,9581,1918,09,72.9,Y
IDCJAC0001,9581,1918,10,63.4,Y
IDCJAC0001,9581,1918,11,51.3,Y
IDCJAC0001,9581,1918,12,12.7,Y
IDCJAC0001,9581,1919,01,8.9,Y
IDCJAC0001,9581,1919,02,28.4,Y
IDCJAC0001,9581,1919,03,12.4,Y
IDCJAC0001,9581,1919,04,128.2,Y
IDCJAC0001,9581,1919,05,53.3,Y
IDCJAC0001,9581,1919,06,58.8,Y
IDCJAC0001,9581,1919,07,130.3,Y
IDCJAC0001,9581,1919,08,120.4,Y
IDCJAC0001,9581,1919,09,53.4,Y
IDCJAC0001,9581,1919,10,70.1,Y
IDCJAC0001,9581,1919,11,59.0,Y
IDCJAC0001,9581,1919,12,23.7,Y
IDCJAC0001,9581,1920,01,9.7,Y
IDCJAC0001,9581,1920,02,72.0,Y
IDCJAC0001,9581,1920,03,27.3,Y
IDCJAC0001,9581,1920,04,41.5,Y
IDCJAC0001,9581,1920,05,86.5,Y
IDCJAC0001,9581,1920,06,143.7,Y
IDCJAC0001,9581,1920,07,98.2,Y
IDCJAC0001,9581,1920,08,173.3,Y
IDCJAC0001,9581,1920,09,76.5,Y
IDCJAC0001,9581,1920,10,36.9,Y
IDCJAC0001,9581,1920,11,16.9,Y
IDCJAC0001,9581,1920,12,8.3,Y
IDCJAC0001,9581,1921,01,31.8,Y
IDCJAC0001,9581,1921,02,44.6,Y
IDCJAC0001,9581,1921,03,6.8,Y
IDCJAC0001,9581,1921,04,32.3,Y
IDCJAC0001,9581,1921,05,190.1,Y
IDCJAC0001,9581,1921,06,82.5,Y
IDCJAC0001,9581,1921,07,79.4,Y
IDCJAC0001,9581,1921,08,95.2,Y
IDCJAC0001,9581,1921,09,116.9,Y
IDCJAC0001,9581,1921,10,90.6,Y
IDCJAC0001,9581,1921,11,45.1,Y
IDCJAC0001,9581,1921,12,71.9,Y
IDCJAC0001,9581,1922,01,16.3,Y
IDCJAC0001,9581,1922,02,22.6,Y
IDCJAC0001,9581,1922,03,33.7,Y
IDCJAC0001,9581,1922,04,87.4,Y
IDCJAC0001,9581,1922,05,115.2,Y
IDCJAC0001,9581,1922,06,85.5,Y
IDCJAC0001,9581,1922,07,136.1,Y
IDCJAC0001,9581,1922,08,113.8,Y
IDCJAC0001,9581,1922,09,62.2,Y
IDCJAC0001,9581,1922,10,49.3,Y
IDCJAC0001,9581,1922,11,48.5,Y
IDCJAC0001,9581,1922,12,38.5,Y
IDCJAC0001,9581,1923,01,17.5,Y
IDCJAC0001,9581,1923,02,8.7,Y
IDCJAC0001,9581,1923,03,49.4,Y
IDCJAC0001,9581,1923,04,30.1,Y
IDCJAC0001,9581,1923,05,176.8,Y
IDCJAC0001,9581,1923,06,209.3,Y
IDCJAC0001,9581,1923,07,93.6,Y
IDCJAC0001,9581,1923,08,86.4,Y
IDCJAC0001,9581,1923,09,132.1,Y
IDCJAC0001,9581,1923,10,54.2,Y
IDCJAC0001,9581,1923,11,9.3,Y
IDCJAC0001,9581,1923,12,18.7,Y
IDCJAC0001,9581,1924,01,8.3,Y
IDCJAC0001,9581,1924,02,12.1,Y
IDCJAC0001,9581,1924,03,6.6,Y
IDCJAC0001,9581,1924,04,14.9,Y
IDCJAC0001,9581,1924,05,115.7,Y
IDCJAC0001,9581,1924,06,67.5,Y
IDCJAC0001,9581,1924,07,72.0,Y
IDCJAC0001,9581,1924,08,99.9,Y
IDCJAC0001,9581,1924,09,106.1,Y
IDCJAC0001,9581,1924,10,160.0,Y
IDCJAC0001,9581,1924,11,60.7,Y
IDCJAC0001,9581,1924,12,8.0,Y
IDCJAC0001,9581,1925,01,39.7,Y
IDCJAC0001,9581,1925,02,19.4,Y
IDCJAC0001,9581,1925,03,39.0,Y
IDCJAC0001,9581,1925,04,46.9,Y
IDCJAC0001,9581,1925,05,73.9,Y
IDCJAC0001,9581,1925,06,69.8,Y
IDCJAC0001,9581,1925,07,98.3,Y
IDCJAC0001,9581,1925,08,37.2,Y
IDCJAC0001,9581,1925,09,69.3,Y
IDCJAC0001,9581,1925,10,104.0,Y
IDCJAC0001,9581,1925,11,12.9,Y
IDCJAC0001,9581,1925,12,87.4,Y
IDCJAC0001,9581,1926,01,6.9,Y
IDCJAC0001,9581,1926,02,50.6,Y
IDCJAC0001,9581,1926,03,55.1,Y
IDCJAC0001,9581,1926,04,113.1,Y
IDCJAC0001,9581,1926,05,61.4,Y
IDCJAC0001,9581,1926,06,55.3,Y
IDCJAC0001,9581,1926,07,204.0,Y
IDCJAC0001,9581,1926,08,82.7,Y
IDCJAC0001,9581,1926,09,97.5,Y
IDCJAC0001,9581,1926,10,82.6,Y
IDCJAC0001,9581,1926,11,55.5,Y
IDCJAC0001,9581,1926,12,26.5,Y
IDCJAC0001,9581,1927,01,28.7,Y
IDCJAC0001,9581,1927,02,10.0,Y
IDCJAC0001,9581,1927,03,67.9,Y
IDCJAC0001,9581,1927,04,19.3,Y
IDCJAC0001,9581,1927,05,81.1,Y
IDCJAC0001,9581,1927,06,95.0,Y
IDCJAC0001,9581,1927,07,80.8,Y
IDCJAC0001,9581,1927,08,87.6,Y
IDCJAC0001,9581,1927,09,126.5,Y
IDCJAC0001,9581,1927,10,75.1,Y
IDCJAC0001,9581,1927,11,19.5,Y
IDCJAC0001,9581,1927,12,17.3,Y
IDCJAC0001,9581,1928,01,51.4,Y
IDCJAC0001,9581,1928,02,4.6,Y
IDCJAC0001,9581,1928,03,9.2,Y
IDCJAC0001,9581,1928,04,57.6,Y
IDCJAC0001,9581,1928,05,67.0,Y
IDCJAC0001,9581,1928,06,94.6,Y
IDCJAC0001,9581,1928,07,148.7,Y
IDCJAC0001,9581,1928,08,120.0,Y
IDCJAC0001,9581,1928,09,115.6,Y
IDCJAC0001,9581,1928,10,61.5,Y
IDCJAC0001,9581,1928,11,18.7,Y
IDCJAC0001,9581,1928,12,12.5,Y
IDCJAC0001,9581,1929,01,8.8,Y
IDCJAC0001,9581,1929,02,38.6,Y
IDCJAC0001,9581,1929,03,21.9,Y
IDCJAC0001,9581,1929,04,46.4,Y
IDCJAC0001,9581,1929,05,94.7,Y
IDCJAC0001,9581,1929,06,141.4,Y
IDCJAC0001,9581,1929,07,94.8,Y
IDCJAC0001,9581,1929,08,65.1,Y
IDCJAC0001,9581,1929,09,69.8,Y
IDCJAC0001,9581,1929,10,49.2,Y
IDCJAC0001,9581,1929,11,135.1,Y
IDCJAC0001,9581,1929,12,33.7,Y
IDCJAC0001,9581,1930,01,2.1,Y
IDCJAC0001,9581,1930,02,9.8,Y
IDCJAC0001,9581,1930,03,20.6,Y
IDCJAC0001,9581,1930,04,58.3,Y
IDCJAC0001,9581,1930,05,128.2,Y
IDCJAC0001,9581,1930,06,86.6,Y
IDCJAC0001,9581,1930,07,104.5,Y
IDCJAC0001,9581,1930,08,60.2,Y
IDCJAC0001,9581,1930,09,67.3,Y
IDCJAC0001,9581,1930,10,30.1,Y
IDCJAC0001,9581,1930,11,32.5,Y
IDCJAC0001,9581,1930,12,30.7,Y
IDCJAC0001,9581,1931,01,7.5,Y
IDCJAC0001,9581,1931,02,11.7,Y
IDCJAC0001,9581,1931,03,31.6,Y
IDCJAC0001,9581,1931,04,46.7,Y
IDCJAC0001,9581,1931,05,83.9,Y
IDCJAC0001,9581,1931,06,102.1,Y
IDCJAC0001,9581,1931,07,88.4,Y
IDCJAC0001,9581,1931,08,126.3,Y
IDCJAC0001,9581,1931,09,105.7,Y
IDCJAC0001,9581,1931,10,43.7,Y
