,none,Date,min_temp,max_temp,rainfall,evap,sunshine,direction_max_wind_gust,speed_max_wind_gust,time_max_wind_gust,9am_temp,9am_hum,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_hum,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press
0,,2018-03-04,11.2,21.5,0.0,,,SSE,43.0,14:15,12.9,83.0,1.0,SSE,24,1015.5,19.4,35,,SSE,19,1014.7
1,,2018-03-05,7.3,19.5,0.0,,,S,54.0,10:14,11.0,90.0,,S,26,1018.5,17.5,54,8.0,SSE,22,1020.0
2,,2018-03-06,11.0,23.8,0.0,,,SE,59.0,05:26,14.2,75.0,3.0,SE,37,1023.6,22.9,32,,ESE,26,1022.8
3,,2018-03-07,10.7,28.3,0.0,,,NNE,46.0,08:17,18.4,47.0,,NNE,30,1025.8,26.7,28,,NNE,9,1023.9
4,,2018-03-08,10.5,30.2,0.0,,,SE,44.0,17:35,19.9,45.0,,NNE,22,1025.5,27.9,23,,SSW,13,1023.2
5,,2018-03-09,10.5,31.8,0.0,,,ESE,43.0,18:13,21.0,37.0,,ENE,7,1026.1,30.9,17,,SE,13,1023.7
6,,2018-03-10,11.6,32.6,0.0,,,NNW,39.0,10:10,23.5,31.0,,NNE,13,1025.2,31.5,16,,N,11,1023.2
7,,2018-03-11,12.1,25.8,0.0,,,SSE,43.0,21:24,18.6,59.0,,SSW,13,1023.5,24.8,42,,S,22,1022.5
8,,2018-03-12,10.4,19.8,0.0,,,S,46.0,01:57,11.9,73.0,8.0,S,33,1023.2,18.5,45,,SSW,28,1021.6
9,,2018-03-13,11.1,22.1,0.0,,,SSE,44.0,13:04,12.9,86.0,8.0,S,24,1022.9,21.0,38,,SSE,24,1020.9
10,,2018-03-14,10.6,23.8,0.0,,,SSE,37.0,23:09,12.7,80.0,6.0,S,24,1020.7,22.6,31,,SSW,17,1016.1
11,,2018-03-15,9.0,20.4,0.0,,,SSE,33.0,13:00,12.2,89.0,,SSE,17,1014.6,18.8,45,2.0,S,17,1014.7
12,,2018-03-16,10.5,25.7,0.0,,,NNW,41.0,13:42,13.9,86.0,1.0,E,19,1015.4,23.4,27,8.0,NW,24,1013.1
13,,2018-03-17,13.8,29.0,0.0,,,NNW,76.0,19:22,19.2,56.0,,NNE,30,1012.7,28.3,26,1.0,N,44,1009.2
14,,2018-03-18,15.8,19.1,0.0,,,WNW,80.0,11:02,15.9,84.0,8.0,WNW,37,1004.5,17.8,28,1.0,W,44,1011.4
15,,2018-03-19,7.0,23.5,0.0,,,WNW,52.0,14:03,12.0,78.0,8.0,N,20,1015.7,20.5,43,4.0,WNW,31,1014.8
16,,2018-03-20,9.1,17.7,0.4,,,ESE,65.0,22:42,11.0,97.0,7.0,SSE,22,1025.2,16.5,42,5.0,SE,35,1026.0
17,,2018-03-21,9.7,22.9,0.0,,,ESE,65.0,23:39,11.5,74.0,8.0,SE,31,1027.4,22.1,39,,ESE,30,1024.6
18,,2018-03-22,10.0,26.4,0.0,,,NNE,50.0,10:10,16.0,53.0,1.0,NNE,24,1025.2,25.2,30,,NNE,24,1022.1
19,,2018-03-23,13.6,26.6,0.0,,,NNE,50.0,08:17,16.9,59.0,,NNE,30,1022.0,25.2,33,,NNE,28,1017.8
20,,2018-03-24,15.3,21.9,4.2,,,NNE,39.0,22:33,15.3,99.0,8.0,SW,11,1014.9,19.9,86,1.0,N,24,1010.7
21,,2018-03-25,15.0,21.1,23.2,,,NW,74.0,17:42,15.0,87.0,8.0,NNW,19,1002.2,18.5,38,8.0,WNW,35,1000.2
22,,2018-03-26,6.0,15.0,7.0,,,W,52.0,09:49,7.8,98.0,8.0,W,22,1008.8,14.0,55,8.0,W,31,1010.8
23,,2018-03-27,2.3,19.8,0.0,,,N,46.0,12:24,7.9,100.0,6.0,N,13,1016.1,17.4,42,7.0,N,31,1013.0
24,,2018-03-28,7.9,27.7,0.0,,,N,57.0,07:30,15.9,41.0,,N,37,1012.8,26.9,19,,WNW,17,1013.6
25,,2018-03-29,12.7,21.8,0.0,,,WSW,28.0,14:24,13.3,99.0,8.0,SSW,11,1016.6,20.8,41,,WSW,13,1015.0
26,,2018-03-30,8.9,21.1,0.0,,,WSW,43.0,10:32,13.3,98.0,8.0,W,13,1016.1,20.3,47,4.0,SW,20,1016.3
27,,2018-03-31,7.5,22.0,0.0,,,W,30.0,12:10,11.3,85.0,,ESE,17,1017.9,19.9,39,,NNW,11,1015.6
28,,2018-04-04,7.2,26.5,0.2,,,SSE,30.0,00:33,15.4,61.0,,SE,9,1020.5,25.8,16,,NW,7,1017.7
29,,2018-04-05,6.3,19.9,0.2,,,S,30.0,19:30,10.2,100.0,8.0,S,11,1017.0,18.6,39,,SSW,15,1015.8
30,,2018-04-06,8.5,19.8,0.0,,,S,35.0,15:43,11.6,100.0,8.0,S,15,1020.5,18.3,50,4.0,SSW,20,1019.5
31,,2018-04-07,3.7,22.9,0.0,,,W,31.0,13:02,14.2,61.0,,ESE,7,1021.6,22.7,33,,WSW,13,1019.0
32,,2018-04-08,9.0,28.7,0.0,,,N,56.0,11:02,18.3,43.0,,N,28,1018.0,27.2,18,7.0,NW,28,1015.1
33,,2018-04-09,7.8,26.4,0.0,,,NNE,31.0,23:57,14.4,100.0,1.0,SSE,4,1020.2,25.2,31,,NNE,7,1017.6
34,,2018-04-10,14.4,26.7,0.0,,,N,43.0,14:22,22.3,41.0,1.0,NNE,13,1017.7,25.2,35,6.0,N,31,1015.6
35,,2018-04-11,15.6,32.2,0.0,,,ESE,46.0,20:39,21.9,51.0,8.0,ENE,7,1016.8,31.6,19,3.0,NW,22,1013.1
36,,2018-04-12,16.7,23.4,0.4,,,N,59.0,01:25,17.3,72.0,8.0,NW,9,1010.3,23.0,29,,WNW,30,1009.8
37,,2018-04-13,6.0,20.6,0.0,,,WNW,65.0,21:10,11.5,98.0,7.0,N,19,1010.4,19.9,38,,N,43,1003.1
38,,2018-04-14,7.6,12.3,0.2,,,W,74.0,13:40,9.2,98.0,8.0,N,41,996.7,10.5,76,8.0,W,46,996.5
39,,2018-04-15,5.6,14.4,13.8,,,W,63.0,02:24,10.7,100.0,8.0,NNW,24,1003.5,13.5,100,8.0,W,28,1005.8
40,,2018-04-16,10.7,17.6,4.6,,,W,56.0,11:07,14.4,98.0,7.0,WNW,24,1012.4,13.9,99,8.0,WSW,26,1014.9
41,,2018-04-17,6.9,14.1,1.4,,,SE,41.0,20:03,10.0,72.0,1.0,SSE,24,1025.0,14.0,57,,ESE,19,1023.7
42,,2018-04-18,3.8,20.6,0.0,,,N,41.0,14:24,9.8,83.0,,NNW,4,1023.4,20.0,33,,N,24,1019.0
43,,2018-04-19,5.1,21.7,0.0,,,ESE,26.0,19:43,15.6,63.0,2.0, ,Calm,1019.6,21.1,31,,SSW,11,1018.5
44,,2018-04-20,5.9,24.3,0.0,,,SSE,30.0,15:12,15.7,62.0,, ,Calm,1022.5,23.5,30,,S,19,1020.5
45,,2018-04-21,3.3,23.9,0.0,,,WSW,30.0,12:10,13.9,70.0,,ESE,7,1022.6,21.6,38,8.0,S,11,1020.3
46,,2018-04-22,5.8,23.5,0.0,,,NW,28.0,13:50,15.4,83.0,,SE,13,1023.1,22.6,39,,SW,7,1020.5
47,,2018-04-23,7.2,26.0,0.0,,,N,37.0,10:31,17.7,54.0,,NNE,24,1020.0,25.1,26,,N,26,1016.6
48,,2018-04-24,12.8,21.5,0.0,,,NNE,39.0,04:06,17.8,39.0,3.0,N,26,1017.0,19.7,59,8.0,NW,20,1016.0
49,,2018-04-25,9.6,18.7,0.0,,,W,33.0,13:39,12.6,98.0,8.0,SSW,9,1017.5,17.6,44,,W,22,1015.1
50,,2018-04-26,6.0,15.5,0.0,,,WSW,37.0,12:06,11.3,99.0,7.0,SW,13,1020.3,14.3,55,7.0,SW,20,1020.6
51,,2018-04-27,4.9,16.5,0.0,,,SE,41.0,12:23,10.8,99.0,1.0,SSE,22,1026.5,16.0,55,,SE,26,1025.3
52,,2018-04-28,8.5,20.2,0.0,,,ESE,35.0,06:00,12.0,86.0,,E,15,1027.2,19.7,35,,W,9,1025.2
