stn_number,lat,lng,elev
10007,-30.81,117.86,359
10058,-31.3,116.83,239
1006,-15.51,128.15,4
1007,-13.75,126.15,6
10073,-31.62,117.72,250
10092,-31.48,118.28,315
10111,-31.65,116.66,170
1018,-16.42,126.1,546
1019,-14.3,126.65,23
1020,-14.09,126.39,51
1025,-15.38,126.31,385
10286,-31.62,117.22,217
10311,-31.9,116.77,179
10515,-32.11,116.92,199
10524,-32.37,117.01,250
10536,-32.33,117.87,295
10568,-32.44,118.9,299
10612,-32.07,118.4,276
10614,-32.93,117.18,338
10622,-33.96,118.48,286
10626,-32.53,117.08,297
10633,-33.58,120.05,232
10647,-33.31,117.34,256
10692,-33.11,118.84,320
10905,-33.89,119.11,305
10911,-33.1,118.46,286
10916,-33.69,117.61,320
10917,-32.67,116.67,275
11003,-31.68,128.9,93
11017,-32.46,123.87,151
11019,-32.25,126.3,6
11052,-30.85,128.11,159
11053,-32.2,127.53,3
12009,-32.21,121.75,263
12038,-30.78,121.45,365
12044,-33.55,120.7,220
12071,-32.99,121.62,249
12239,-28.5,119.74,439
12241,-28.88,121.32,370
12305,-28.61,122.42,464
12314,-27.84,120.7,497
12320,-31.24,119.36,347
13011,-26.13,126.58,459
13012,-26.59,120.23,521
13015,-25.8,122.98,448
13017,-25.03,128.3,598
13030,-21.71,122.23,292
13044,-26.63,120.22,502
14015,-12.42,130.89,30
14031,-12.39,130.63,14
14041,-12.61,131.3,14
14142,-11.4,130.42,18
14198,-12.66,132.89,27
14253,-13.17,130.12,3
14254,-12.24,131.88,1
14272,-13.05,131.03,104
14274,-11.05,132.98,1
14277,-12.64,130.37,4
14305,-14.47,132.26,106
14308,-11.16,132.48,9
14309,-11.55,132.93,10
14310,-12.33,133.01,8
14314,-12.61,131.05,18
14401,-11.65,133.38,19
14404,-12.09,134.89,15
14405,-12.06,134.23,28
14508,-12.27,136.82,52
14517,-12.0,135.57,8
14518,-13.97,136.46,14
14609,-14.73,134.73,34
14626,-16.26,133.38,210
14627,-13.67,134.34,103
14703,-15.74,136.82,12
14704,-16.44,136.08,40
14707,-17.21,137.95,60
14723,-16.08,136.3,16
14808,-15.44,130.57,60
14825,-16.4,131.01,89
14829,-18.33,130.64,316
14840,-17.39,131.12,196
14850,-15.66,130.48,20
